nivel,metodo,heuristica,deadlocks,corrida,orden_sucesores,exito,motivo_fin,costo,empujes,nodos_expandidos,nodos_generados,frontera_maxima,frontera_final,estados_visitados,memoria_maxima,tiempo_s
n3_caminata,IDDFS,—,completo,5,—,True,meta,104,22,355058,863930,48,29,1806,1826,1.436
n4_matching,IDDFS,—,completo,1,—,False,max_nodos,,,3000000,7664562,44,27,47369,47397,14.516
n4_matching,IDDFS,—,completo,2,—,False,max_nodos,,,3000000,7664562,44,27,47369,47397,14.503
n4_matching,IDDFS,—,completo,3,—,False,max_nodos,,,3000000,7664562,44,27,47369,47397,14.479
n4_matching,IDDFS,—,completo,4,—,False,max_nodos,,,3000000,7664562,44,27,47369,47397,14.471
n4_matching,IDDFS,—,completo,5,—,False,max_nodos,,,3000000,7664562,44,27,47369,47397,14.504
n5_limite,IDDFS,—,completo,1,—,False,max_nodos,,,3000000,7500100,50,38,46916,46949,13.467
n5_limite,IDDFS,—,completo,2,—,False,max_nodos,,,3000000,7500100,50,38,46916,46949,13.504
n5_limite,IDDFS,—,completo,3,—,False,max_nodos,,,3000000,7500100,50,38,46916,46949,13.613
n5_limite,IDDFS,—,completo,4,—,False,max_nodos,,,3000000,7500100,50,38,46916,46949,13.519
n5_limite,IDDFS,—,completo,5,—,False,max_nodos,,,3000000,7500100,50,38,46916,46949,13.462
n1_micro,Greedy,h0,completo,1,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,Greedy,h0,completo,2,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,Greedy,h0,completo,3,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,Greedy,h0,completo,4,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,Greedy,h0,completo,5,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,Greedy,h1,completo,1,—,True,meta,8,5,26,64,10,9,36,46,0.000
n1_micro,Greedy,h1,completo,2,—,True,meta,8,5,26,64,10,9,36,46,0.000
n1_micro,Greedy,h1,completo,3,—,True,meta,8,5,26,64,10,9,36,46,0.000
n1_micro,Greedy,h1,completo,4,—,True,meta,8,5,26,64,10,9,36,46,0.001
n1_micro,Greedy,h1,completo,5,—,True,meta,8,5,26,64,10,9,36,46,0.000
n1_micro,Greedy,h2,completo,1,—,True,meta,8,5,26,64,10,9,36,46,0.000
n1_micro,Greedy,h2,completo,2,—,True,meta,8,5,26,64,10,9,36,46,0.000
n1_micro,Greedy,h2,completo,3,—,True,meta,8,5,26,64,10,9,36,46,0.000
n1_micro,Greedy,h2,completo,4,—,True,meta,8,5,26,64,10,9,36,46,0.000
n1_micro,Greedy,h2,completo,5,—,True,meta,8,5,26,64,10,9,36,46,0.000
n1_micro,Greedy,h3,completo,1,—,True,meta,8,5,11,27,8,7,19,27,0.000
n1_micro,Greedy,h3,completo,2,—,True,meta,8,5,11,27,8,7,19,27,0.000
n1_micro,Greedy,h3,completo,3,—,True,meta,8,5,11,27,8,7,19,27,0.000
n1_micro,Greedy,h3,completo,4,—,True,meta,8,5,11,27,8,7,19,27,0.000
n1_micro,Greedy,h3,completo,5,—,True,meta,8,5,11,27,8,7,19,27,0.000
n1_micro,Greedy,h4,completo,1,—,True,meta,8,5,11,27,8,7,19,27,0.000
n1_micro,Greedy,h4,completo,2,—,True,meta,8,5,11,27,8,7,19,27,0.000
n1_micro,Greedy,h4,completo,3,—,True,meta,8,5,11,27,8,7,19,27,0.000
